job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,posted_date,source_platform
Business Analyst,Ogya Tekno Nusantara,Jakarta,Tidak ditemukan,10 tahun,S1,Tidak disebutkan,"SQL, Git",Tidak ditemukan,6/13/2026,Glints
Drafter Engineer,CV Takino,Jakarta,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,Tidak ditemukan,Tidak ditemukan,6/13/2026,Glints
TECHNICAL ENGINEER,PT Unipower Technology Indonesia,Remote,Tidak ditemukan,3 tahun,S1,Tidak disebutkan,Excel,Menyusun laporan dan insight data,6/13/2026,Glints
IT Support Engineer,PT Sinergy Informasi Pratama,Jakarta,Tidak ditemukan,3 tahun,SMA,Rp. 555.555.555,Tidak ditemukan,Tidak ditemukan,6/13/2026,Glints
System Analyst,PT Sigma Global Teknologi,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 5.000.000,"SQL, Linux, PostgreSQL",Mengembangkan dan mengelola API,6/13/2026,Glints
Data Scientist,Bvarta,Jakarta,Tidak ditemukan,5 tahun,S1,Tidak disebutkan,"Python, Machine Learning, Data Analysis",Membangun model machine learning,6/13/2026,Glints
Business Analyst,Hexavara Technology,Surabaya,Tidak ditemukan,3 tahun,D1,Rp. 4.000.000,Tidak ditemukan,Tidak ditemukan,6/13/2026,Glints
Data Engineer / Data Scientist (Banking),PT Avows Technologies,Jakarta,Tidak ditemukan,5 tahun,S1,Rp. 8.500.000,"Python, SQL, Excel, Machine Learning, Git",Membangun model machine learning,6/13/2026,Glints
Software,PT.Konoh International Projects,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 6.000.000,"React, Node.js",Mengembangkan sistem backend,6/13/2026,Glints
Software Developer,Ecombest LLC,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Bachelor,Tidak disebutkan,"SQL, React, Git, Docker, AWS",Mengembangkan tampilan frontend,6/13/2026,Glints
Data Analis,PT Markaz Jalan Bersama,Tidak ditemukan,Tidak ditemukan,1 tahun,S1,Rp. 4.000.000,"Excel, Data Analysis",Menganalisis data perusahaan,6/13/2026,Glints
AI ENGINEER,PT Media Periklanan Indonesia,Jakarta,Tidak ditemukan,3 tahun,S1,Rp. 7.000.000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch",Membangun model machine learning,6/13/2026,Glints
